Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
344         11.00       8.44        5.73        1.08        
345         11.00       8.44        5.73        1.07        
346         11.00       8.44        5.73        1.07        
347         11.00       8.43        5.73        1.07        
348         11.00       8.43        5.73        1.07        
349         11.00       8.43        5.73        1.07        
350         11.00       8.43        5.73        1.07        
351         11.00       8.43        5.73        1.07        
352         11.00       8.43        5.73        1.07        
353         11.00       8.43        5.73        1.07        
354         11.00       8.43        5.73        1.07        
355         11.00       8.42        5.73        1.07        
356         11.00       8.42        5.73        1.07        
357         11.00       8.42        5.73        1.07        
358         11.00       8.42        5.73        1.07        
359         11.00       8.42        5.73        1.07        
360         11.00       8.41        5.73        1.07        
361         11.00       8.41        5.73        1.07        
362         11.00       8.41        5.73        1.07        
363         11.00       8.41        5.73        1.06        
364         11.00       8.41        5.73        1.06        
365         11.00       8.41        5.73        1.06        
366         11.00       8.41        5.73        1.06        
367         11.00       8.40        5.73        1.06        
368         11.00       8.40        5.73        1.06        
369         11.00       8.40        5.73        1.05        
370         11.00       8.40        5.73        1.05        
371         11.00       8.40        5.73        1.05        
372         11.00       8.40        5.73        1.05        
373         11.00       8.40        5.73        1.05        
374         11.00       8.40        5.73        1.05        
375         11.00       8.40        5.73        1.05        
376         11.00       8.40        5.73        1.05        
377         11.00       8.39        5.73        1.05        
378         10.53       8.39        5.73        1.05        
379         10.53       8.39        5.73        1.05        
380         10.53       8.39        5.73        1.05        
381         10.53       8.39        5.73        1.05        
382         10.53       8.39        5.73        1.04        
383         10.53       8.39        5.73        1.04        
384         10.53       8.39        5.73        1.04        
385         10.53       8.38        5.73        1.04        
386         10.53       8.38        5.73        1.04        
387         10.53       8.38        5.73        1.04        
388         10.53       8.38        5.73        1.04        
389         10.53       8.38        5.73        1.04        
390         10.53       8.38        5.73        1.04        
391         10.53       8.38        5.73        1.04        
392         10.53       8.38        5.73        1.04        
393         10.53       8.38        5.73        1.04        
394         10.53       8.38        5.73        1.04        
395         10.53       8.38        5.73        1.04        
396         10.53       8.38        5.73        1.04        
397         10.53       8.38        5.73        1.04        
398         10.53       8.38        5.73        1.04        
399         10.53       8.38        5.73        1.04        
400         10.53       8.38        5.73        1.04        
401         10.53       8.38        5.73        1.04        
402         10.53       8.38        5.73        1.04        
403         10.53       8.38        5.73        1.04        
404         10.53       8.38        5.73        1.04        
405         10.53       8.37        5.73        1.04        
406         10.53       8.37        5.73        1.04        
407         10.53       8.37        5.73        1.04        
408         10.53       8.37        5.73        1.04        
409         10.53       8.37        5.73        1.04        
410         10.53       8.36        5.73        1.04        
411         10.53       8.36        5.73        1.04        
412         10.53       8.36        5.73        1.04        
413         10.53       8.36        5.73        1.04        
414         10.53       8.36        5.73        1.04        
415         10.53       8.35        5.73        1.04        
416         10.53       8.35        5.73        1.04        
417         10.53       8.35        5.73        1.04        
418         10.53       8.35        5.73        1.04        
419         10.53       8.35        5.73        1.04        
420         10.53       8.35        5.73        1.04        
421         10.53       8.35        5.73        1.04        
422         10.53       8.35        5.73        1.04        
423         10.53       8.35        5.73        1.04        
424         10.53       8.35        5.73        1.04        
425         10.53       8.35        5.73        1.04        
426         10.53       8.35        5.73        1.04        
427         10.53       8.35        5.73        1.04        
428         10.53       8.35        5.73        1.04        
429         10.53       8.35        5.73        1.04        
430         10.53       8.35        5.73        1.04        
431         10.53       8.35        5.73        1.04        
432         10.53       8.35        5.73        1.04        
433         10.53       8.35        5.73        1.04        
434         10.53       8.35        5.73        1.04        
435         10.53       8.35        5.73        1.04        
436         10.53       8.35        5.73        1.04        
437         10.53       8.35        5.73        1.04        
438         10.53       8.35        5.73        1.04        
439         10.53       8.35        5.73        1.04        
440         10.53       8.34        5.73        1.04        
441         10.53       8.34        5.73        1.04        
442         10.53       8.34        5.73        1.04        
443         10.53       8.34        5.73        1.04        
444         10.53       8.34        5.73        1.04        
445         10.53       8.34        5.73        1.04        
446         10.53       8.34        5.73        1.03        
447         10.53       8.34        5.73        1.04        
448         10.53       8.34        5.73        1.04        
449         10.53       8.34        5.73        1.04        
450         10.53       8.34        5.73        1.04        
451         10.53       8.34        5.73        1.04        
452         10.53       8.34        5.73        1.04        
453         10.53       8.34        5.73        1.04        
454         10.53       8.34        5.73        1.03        
455         10.53       8.34        5.73        1.03        
456         10.53       8.34        5.73        1.03        
457         10.53       8.34        5.73        1.03        
458         10.53       8.34        5.73        1.03        
459         10.53       8.33        5.73        1.03        
460         10.53       8.33        5.73        1.03        
461         10.53       8.33        5.73        1.03        
462         10.53       8.33        5.73        1.03        
463         10.53       8.33        5.73        1.03        
464         10.53       8.32        5.73        1.03        
465         10.53       8.32        5.73        1.04        
