Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
300         11.48       9.14        4.73        1.05        
301         11.48       9.14        4.73        1.04        
302         11.48       9.14        4.73        1.04        
303         11.48       9.14        4.73        1.04        
304         11.48       9.13        4.73        1.04        
305         11.48       9.13        4.73        1.04        
306         11.35       9.13        4.73        1.04        
307         11.35       9.12        4.73        1.04        
308         11.35       9.12        4.73        1.04        
309         11.35       9.11        4.73        1.05        
310         11.35       9.11        4.73        1.05        
311         11.35       9.10        4.73        1.05        
312         11.35       9.10        4.73        1.05        
313         11.35       9.10        4.73        1.05        
314         11.35       9.10        4.73        1.05        
315         11.35       9.10        4.73        1.05        
316         11.35       9.10        4.73        1.05        
317         11.35       9.09        4.73        1.05        
318         11.35       9.09        4.73        1.05        
319         11.35       9.09        4.73        1.05        
320         11.35       9.08        4.73        1.04        
321         11.35       9.08        4.73        1.04        
322         11.35       9.07        4.73        1.05        
323         11.35       9.07        4.73        1.05        
324         11.35       9.07        4.73        1.05        
325         11.35       9.06        4.73        1.05        
326         11.17       9.06        4.73        1.05        
327         11.17       9.06        4.73        1.05        
328         11.17       9.05        4.73        1.04        
329         11.17       9.05        4.73        1.04        
330         11.16       9.04        4.73        1.04        
331         11.16       9.04        4.73        1.04        
332         11.16       9.04        4.73        1.04        
333         11.16       9.03        4.73        1.05        
334         11.16       9.02        4.73        1.05        
335         11.16       9.02        4.73        1.05        
336         11.16       9.02        4.73        1.05        
337         11.16       9.02        4.73        1.05        
338         11.16       9.01        4.73        1.05        
339         11.16       9.01        4.73        1.05        
340         11.16       9.01        4.73        1.06        
341         11.16       9.00        4.73        1.06        
342         11.16       9.00        4.73        1.06        
343         11.16       9.00        4.73        1.06        
344         11.16       9.00        4.73        1.06        
345         11.16       9.00        4.73        1.06        
346         11.16       8.99        4.73        1.06        
347         11.16       8.99        4.73        1.06        
348         11.16       8.99        4.73        1.06        
349         11.16       8.99        4.73        1.06        
350         11.16       8.99        4.73        1.06        
351         11.16       8.99        4.73        1.06        
352         11.16       8.99        4.73        1.06        
353         11.16       8.99        4.73        1.06        
354         11.16       8.98        4.73        1.06        
355         11.16       8.98        4.73        1.06        
356         11.16       8.98        4.73        1.06        
357         11.16       8.97        4.73        1.06        
358         11.16       8.97        4.73        1.06        
359         11.16       8.97        4.73        1.06        
360         11.16       8.97        4.73        1.06        
361         11.16       8.97        4.73        1.06        
362         11.16       8.97        4.73        1.06        
363         11.16       8.97        4.73        1.06        
364         11.16       8.97        4.73        1.06        
365         11.16       8.97        4.73        1.05        
366         11.16       8.96        4.73        1.05        
367         11.16       8.96        4.73        1.05        
368         11.15       8.95        4.73        1.05        
369         11.15       8.95        4.73        1.04        
370         11.12       8.94        4.73        1.05        
371         11.12       8.94        4.73        1.05        
372         11.12       8.94        4.73        1.05        
373         11.12       8.93        4.73        1.05        
374         11.12       8.93        4.73        1.05        
375         11.12       8.93        4.73        1.05        
376         11.12       8.93        4.73        1.05        
377         11.12       8.93        4.73        1.05        
378         11.12       8.92        4.73        1.05        
379         11.12       8.92        4.73        1.06        
380         11.12       8.91        4.73        1.06        
381         11.12       8.91        4.73        1.06        
382         11.12       8.91        4.73        1.06        
383         11.12       8.90        4.73        1.07        
384         11.12       8.90        4.73        1.07        
385         11.12       8.90        4.73        1.07        
386         11.12       8.90        4.73        1.06        
387         11.12       8.89        4.73        1.07        
388         11.12       8.89        4.73        1.07        
389         11.12       8.89        4.73        1.07        
390         10.94       8.89        4.73        1.07        
391         10.94       8.89        4.73        1.07        
392         10.94       8.89        4.73        1.07        
393         10.94       8.88        4.73        1.07        
394         10.92       8.88        4.73        1.06        
395         10.92       8.88        4.73        1.06        
396         10.92       8.87        4.73        1.08        
397         10.92       8.87        4.73        1.08        
398         10.92       8.86        4.73        1.07        
399         10.92       8.86        4.73        1.07        
400         10.92       8.86        4.73        1.07        
401         10.92       8.86        4.73        1.07        
402         10.92       8.86        4.73        1.07        
403         10.92       8.85        4.73        1.07        
404         10.92       8.85        4.73        1.07        
405         10.92       8.85        4.73        1.07        
406         10.92       8.85        4.73        1.07        
407         10.92       8.85        4.73        1.07        
408         10.92       8.85        4.73        1.07        
409         10.92       8.84        4.73        1.07        
410         10.92       8.84        4.73        1.07        
411         10.92       8.84        4.73        1.07        
412         10.92       8.84        4.73        1.07        
413         10.92       8.84        4.73        1.07        
414         10.92       8.83        4.73        1.07        
415         10.92       8.83        4.73        1.07        
416         10.92       8.82        4.73        1.07        
417         10.92       8.82        4.73        1.08        
418         10.92       8.82        4.73        1.08        
419         10.92       8.81        4.73        1.08        
420         10.92       8.81        4.73        1.08        
421         10.92       8.81        4.73        1.08        
422         10.92       8.81        4.73        1.08        
423         10.92       8.81        4.73        1.08        
424         10.92       8.81        4.73        1.08        
425         10.92       8.80        4.73        1.08        
426         10.92       8.80        4.73        1.07        
427         10.92       8.80        4.73        1.07        
428         10.92       8.80        4.73        1.08        
429         10.92       8.80        4.73        1.08        
430         10.92       8.80        4.73        1.08        
431         10.92       8.80        4.73        1.08        
432         10.92       8.79        4.73        1.08        
433         10.92       8.79        4.73        1.08        
434         10.92       8.79        4.73        1.07        
435         10.92       8.79        4.73        1.07        
436         10.92       8.79        4.73        1.07        
437         10.92       8.79        4.73        1.07        
438         10.92       8.79        4.73        1.07        
439         10.92       8.79        4.73        1.08        
440         10.92       8.78        4.73        1.09        
441         10.92       8.78        4.73        1.09        
442         10.92       8.78        4.73        1.09        
443         10.92       8.78        4.73        1.09        
444         10.92       8.78        4.73        1.09        
445         10.92       8.78        4.73        1.09        
446         10.92       8.78        4.73        1.09        
447         10.92       8.77        4.73        1.08        
448         10.92       8.77        4.73        1.08        
449         10.92       8.77        4.73        1.08        
450         10.92       8.77        4.73        1.08        
451         10.92       8.77        4.73        1.08        
452         10.92       8.77        4.73        1.08        
453         10.92       8.77        4.73        1.08        
454         10.92       8.76        4.73        1.08        
455         10.88       8.76        4.73        1.07        
456         10.85       8.76        4.73        1.07        
457         10.85       8.76        4.73        1.07        
458         10.85       8.76        4.73        1.07        
459         10.85       8.76        4.73        1.07        
460         10.85       8.76        4.73        1.07        
461         10.85       8.75        4.73        1.07        
462         10.85       8.75        4.73        1.07        
463         10.85       8.75        4.73        1.07        
464         10.85       8.75        4.73        1.07        
465         10.85       8.75        4.73        1.07        
466         10.85       8.75        4.73        1.07        
467         10.85       8.75        4.73        1.07        
468         10.85       8.75        4.73        1.07        
469         10.85       8.74        4.73        1.08        
470         10.85       8.74        4.73        1.08        
471         10.85       8.74        4.73        1.08        
